PN,DESCRIPCION,VENDOR,PIECES PER BOX,OTROS,OTROS
SSG7A41902,SWITCH Arista DCS-7060CX TOR Switch,Arrow Global Supply Chain Services,,M1073671-001,
SM37B04162,MEMORY HMAA8GR7CJR4N-XN 64G 2Rx4 M1,Arrow Global Supply Chain Services,,M1194241-001,
SC57A82149,CARDPOP AVA Card + Mech,Arrow Global Supply Chain Services,,M1065151-002,
SSA7A94357,SP ICX 8347C 36C/2.1G/210W M1,Arrow Global Supply Chain Services,,M1172968-001,
SSG7A65533,SWITCH Mellanox MSN2700 TOR PSI,Arrow Global Supply Chain Services,,M1077277-001,
SM37A68673,MEMORY HMAA4GR7AJR4N-WM 32G M1a,Arrow Global Supply Chain Services,,M1146491-001,
SP57A95371,PWR_SUPPLY Delta ATS 1800W Non-LES PSU,ASIA VITAL COMPONENTS CO LTD,,M1129820-001,
SSA7A75403,SP CLX 6252 24C/2.1G/150W/35.75M M1,ASIA VITAL COMPONENTS CO LTD,,M1121196-001,DFPK0456B2GY035
SP57A73213,PWR_SUPPLY Artesyn PL1000 1000W PSU,ASIA VITAL COMPONENTS CO LTD,,M1034962-003,
SC17A68586,CABLE Longs Peak to Occulink,ASIA VITAL COMPONENTS CO LTD,,M1069000-001,
SM17A33144,MECH_ASM E2010 48U Rack Asm,ASIA VITAL COMPONENTS CO LTD,,M1034773-002,
SF17A67100,FAN SN650C MLK 40mm 12V Fan,ASIA VITAL COMPONENTS CO LTD,,M1180334-001,
SP57A92201,PWR_SUPPLY P2012 PSU,ASIA VITAL COMPONENTS CO LTD,,M1179905-001,
SHD7A53296,HDD WD 12T 3.5 SATA HDD-IPDC-M-A,ASIA VITAL COMPONENTS CO LTD,,M1081925-001,
SC57A75092,CARDPOP Ing OCS7100 M.2 Riser Card,ASIA VITAL COMPONENTS CO LTD,,M1083467-001,
SC57A22918,CARDPOP C2030 Motherboard w/ Mechanicals,ASIA VITAL COMPONENTS CO LTD,,M1089834-001,
SM37A21408,MEMORY S M393A2K40CB2-CTD 16G M1a,ASIA VITAL COMPONENTS CO LTD,,M1073445-001,
SSG7A33154,SWITCH Foxconn Ethernet Mgmt Switch,ASIA VITAL COMPONENTS CO LTD,,M1011427-001,
SSS7A92197,SSD S MZCL21T9HCJR-00AMV 2T E1.S M1,ASIA VITAL COMPONENTS CO LTD,,M1161587-001,
SC17A90960,CABLE S2130 V2 SAS Cable Asm,ASIA VITAL COMPONENTS CO LTD,,M1122549-002,
SSG7A98337,SWITCH 1G Mgmt Switch-M1 TW,ASIA VITAL COMPONENTS CO LTD,,M1011427-001,
SSS7A43361,SSD S MZ1LB960HAJQ-00AMV M1-Kr-A,ASIA VITAL COMPONENTS CO LTD,,M1077133-002,
SSS7A43360,SSD S MZ1LB960HAJQ-00AMV M1-Kr,ASIA VITAL COMPONENTS CO LTD,,M1077133-002,
SM37A68618,MEMORY HMA84GR7DJR4N-WM 32G M1a,ASIA VITAL COMPONENTS CO LTD,,M1142879-001,
SC87A50331,CHASSIS OCS C2030 V2 Chassis Asm,ASIA VITAL COMPONENTS CO LTD,,M1122455-002,DHS-B348186-00
SM37A47294,MEMORY H HMA84GR7CJR4N-VK 32G 26R M1,ASIA VITAL COMPONENTS CO LTD,,M1086479-001,
SM17A82651,MECH_ASM SN650C MLK 3.5 V2 HDD Tray,ASIA VITAL COMPONENTS CO LTD,,M1122550-001,
SM37B06503,MEMORY S M321R8GA0BB0-CQK 64G 2Rx4 M1a,ASTEC AMERICA INC,,No MSPN,
SP57A95973,PWR_SUPPLY Artesyn P2011 1800W Non-LES,BIZLINK BVI CORP LIMITED,,M1151741-001,
SM37B04381,MEMORY H HMCG94MEBRA 64G 2RX4 M1a,BIZLINK BVI CORP LIMITED,,M1190042-001,
SC57A94398,CARDPOP C2080 1U Riser Card,Boyd Thermal Systems Hong Kong Limi,,M1126119-001,
SP57A73214,PWR_SUPPLY Artesyn PS1000 1000W PSU,CLOUD NETWORK TECHNOLOGY SINGAPORE,,M1034961-003,
SC17A42053,CABLE 1.5m 100G DAC QSFP,DataDirect Networks  Inc,,M1113202-001,
