SKU,Description,Cost
SM30E51275,MEMORY 8GB DDR4 SD M471A1K43BB0-CPB,
SM30E51241,MEMORY 8GB DDR4 SD MTA16ATF1G64HZ2G1A2,
SM30E51096,MEMORY 8GB RDIMM DDR31866 1R*8 1.5V    ,
0000047J0181,MEMORY 8GB1600mhzUdim                   ,
0000000NU564,MEMORY 8GB2133UDIMMECC2Rx8,
0000000NV202,MEMORY 8GB2400Rdimms                    ,
0000000NV203,MEMORY 8GB2Rx82400Rdi                   ,
0000047J0209,MEMORY 8GB4Gb1RX413,
0000047J0211,MEMORY 8GB4Gb1RX416,
0000047J0210,MEMORY 8GB4Gb2RX813                     ,
0000047J0212,MEMORY 8GB4Gb2Rx816                     ,
0000047J0169,MEMORY 8GBLP16001.5v                    ,
0000047J0166,MEMORY 8GBV16002r41.5                   ,
SM30K02060,MEMORY H HMA41GR7AFR4NUH 8GB D424R,
SM30G97407,MEMORY H HMA41GU7AFR8NTF 8GB D421E    ,
SM30G97420,MEMORY H HMA42GR7AFR4N-TF 16GB D4-21R,
SM30K02063,MEMORY H HMA42GR7AFR4NUH 16GB D424R   ,
SM30E51116,MEMORY H HMA42GR7MFR4N-TF 16GB D4-21R,
SM30K02066,MEMORY H HMA84GR7MFR4NUH 32GB D424R   ,
SM30E82732,MEMORY H HMT41GR7AFR8CRD 8GB D318R    ,
SM30E82730,MEMORY H HMT41GU7AFR8CRD 8GB D318E    ,
SM30E82731,MEMORY H HMT451R7AFR8CRD 4GB D318R    ,
SM30E82729,MEMORY H HMT451U7AFR8CRD 4GB D318E    ,
0000047J0237,MEMORY IV16GV1351600,
0000047J0236,MEMORY IV16GV151866                     ,
0000047J0229,MEMORY IV4GV1351600,
0000047J0231,MEMORY IV4GV1351600                     ,
0000047J0230,MEMORY IV4GV151866                      ,
0000047J0233,MEMORY IV8GV1351600                     ,
0000047J0235,MEMORY IV8GV1351600                     ,
0000047J0232,MEMORY IV8GV151866                      ,
0000047J0234,MEMORY IV8GV151866                      ,
0000047J0226,MEMORY IVY16GB1351600                   ,
0000047J0225,MEMORY IVY16GBRD18661                   ,
0000047J0227,MEMORY IVY32GB1351600                   ,
0000047J0219,MEMORY IVY4GB1351600                    ,
0000047J0218,MEMORY IVY4GBRD1866                     ,
0000047J0220,MEMORY IVY4GBRD1866                     ,
0000047J0216,MEMORY IVY4GBUD1600,
0000047J0222,MEMORY IVY8GB1351600                    ,
0000047J0224,MEMORY IVY8GB1351600                    ,
0000047J0221,MEMORY IVY8GBRD1866                     ,
0000047J0223,MEMORY IVY8GBRD1866                     ,
0000047J0217,MEMORY IVY8GBUD1600                     ,
0000047J0176,MEMORY LR32GB4g1354r4,
SM30G16422,MEMORY M378B1G73EB0CK0 8GB D31600     ,
SM30G16421,MEMORY M378B5173EB0CK0 4GB D31600     ,
0000047J0250,MEMORY Memory                           ,
0000047J0251,MEMORY Memory                           ,
0000047J0252,MEMORY Memory                           ,
0000047J0253,MEMORY Memory                           ,
0000047J0254,MEMORY Memory                           ,
SM30E51122,MEMORY MTA18ASF1G72PZ2G1A2 8GB D421R  ,
SM30E51120,MEMORY S M386A4G40DM0CPB 32GB D421L   ,
SM30L13369,MEMORY S M386A8K40BM2CTD 64GB D426LR  ,
SM30L13334,MEMORY S M391A1G43EB1CPB D421E        ,
SM37A18848,MEMORY S M391A1K43BB1CRC 8GB D424E    ,
SM30G97394,MEMORY S M391A2K43BB1CPB 16GB D421E   ,
SM37A18842,MEMORY S M391A2K43BB1CRC 16GB D424E,
SM30E51118,MEMORY S M393A1G40DB0CPB 8GB D421R    ,
SM30K02061,MEMORY S M393A1G40DB1CRC 8GB D424R    ,
SM30K02151,MEMORY S M393A1K43BB1CTD 8GB D426R    ,
