SKU,Description,Cost
SSA0V08343,SP AMD Ryzen3 PRO 3200GE 3.3GHz/4C/4M35W,
SM30V14949,MEMORY 32G D426U MTA16ATF4G64AZ2G6B1  ,
SSA7A67157,SP CLX 6263CY 24C/2.6G/205W/33M/2933    ,
SSA7A57876,SP CLX 6209U 20C/2.1G/125W/27.5M        ,
SSA7A47826,SP CLX 20C/2.3G/125W/??M                ,
SSS7A43099,SSD P4511 M.2 1TB NVMe SSD (SED)        ,
SM30V14952,MEMORY 32G D4-26U HMAA4GU6MJR8N-VKN0    ,
SM37A21290,MEMORY S M393A8G40MB2CVF 64GB D429R,
SSS7A23378,SSD Int P4610 1.6TB U.2 SSD for IPDC    ,
SM30N76541,MEMORY 8GB D4 26S RMSA3260MD78HAF2666,
SM30N76561,MEMORY 8GB D4 26U RMUA5110MD78HAF2666,
SM37A18944,MEMORY MTA9ASF1G72PZ2G9E1 8GB D429R,
SSA7A57427,SP CLX 6234 8C/3.3G/130W/24.75M         ,
SSA7A57957,SP AMD ROME 7702P  64C/2.0G/200W/256M  ,
SSS7A67173,SSD VLH Intel  P4510 4TB SSD SED        ,
SSS7A39312,"SSD Bear Cove Plus 2.5"" SAS 800G SED SSD",
SSS0P03433,SSD INTL 905P 1.5T U.2 PCIe             ,
SSS0L24703,SSD TOS BG3  256G M.2 2242 PCIe         ,
SSA0U98772,SP Intel i39300T 3.2GHz/4C/8M 35W,
SSS0T22292,SSD SAM PM981a 256G M.2 PCIe 2280 SSD   ,
SSS0T22293,SSD SAM PM981a 512G M.2 PCIe 2280 SSD   ,
SM37A21319,MEMORY S M393ABG40M5BCYF 256G D429R,
SM37A21412,MEMORY MTA36ASF2G72PZ2G6F1 16G D4a    ,
SSS0L24774,SSD WD SN730 256G 2280 PCIe3x4 OP       ,
SSS7A23270,SSD 800GB SATA SED M.2 SSD              ,
SSS7A43175,"SSD 5200 MS SATA 960GB 2.5"" SED SSD     ",
SSS7A43288,"SSD Mic 5200Eco 7.68T 2.5"" SSD",
SSA0U55892,SP Xeon Silver 4215 2.5GHz/8C/11M 85W   ,
SSA0Q89498,SP Xeon 6144 3.5GHz/8C/24.75M 150W      ,
SSS7A39341,SSD NVMe DP 3DWD 1.6TB PM1725b          ,
SM30N76551,MEMORY 8GB D4 26S HMA81GS6JJR8NVKN0,
SM30N76552,MEMORY 16GB D4 26S HMA82GS6JJR8NVKN0,
SM30W30303,MEMORY Gigadevice GD25LB128DSIGR,
SM30K25318,MEMORY 4GB D4 26S MTA4ATF51264HZ2G6E1  ,
SM30U64434,MEMORY MXIC MX25L12873FM2I10G,
SM30N76550,MEMORY 4GB D4 26S HMA851S6JJR6NVKN0    ,
SM30N76575,MEMORY 16GB D4 32S MTA16ATF2G64HZ3G2J1 ,
SSD0N81688,"SSD_ASM SAM PM871b 128GB 2.5"" SSD       ",
SSS0L24762,SSD SKH PC601 1TB M.2 2280 PCIe OPAL    ,
SSS0L25151,SSD UMIS AM611 M.2 2242 256G PCIe STD   ,
SSD0P29619,"SSD_ASM Hynix SC313 128GB 2.5"" SSD      ",
SSS0L24764,SSD SKH BC501PLP 256G M.2 2242 PCIe    ,
SSS0S57323,SSD WD SN720 256G M.2 PCIe 2280 SSD     ,
SSS0Q99984,"SSD Ramaxel AV310 128G 2.5"" 7mm SSD     ",
SSS0L24758,SSD KIX XG6 1T 2280 PCIe3x4 OP          ,
SSS0L25179,SSD SAM PM881 256G M.2 OPAL             ,
SSS0L24776,SSD WD SN730 1TB M.2 2280 PCIe          ,
SSS0L24768,SSD WD SA530 256G M.2 2280 OPAL         ,
SSS0L24775,SSD WD SN730 512G M.2 2280 PCIe         ,
SM30V95961,MEMORY W25Q256JVEIQ WSON                ,
SM30V96081,MEMORY GD25B256DYIGR WSON               ,
SSA0U98762,SP Intel G5420 3.8GHz/2C/4M 58W U0,
SSS0L24770,SSD WD SA530 256G 2.5 OPAL              ,
SSS0L24772,SSD WD SA530 1TB 2.5 OPAL               ,
SSA0U55897,SP Xeon Silver 4208 2.1GHz/8C/11M 85W   ,
SSA0W36789,SP AMDRyzen5 PRO 3600 3.6GHz/6C/32M/65W ,
SSA0W36788,SP AMDRyzen7 PRO 3700 3.6GHz/8C/32M/65W ,
SM30N76555,MEMORY 16GB D4 26U HMA82GU6JJR8NVKN0   ,
SM30N76558,MEMORY 32GB D4 26S HMAA4GS6MJR8NVKN0   ,
SSS0L25160,SSD INT HrrisH PLP M.2 2280 1T PCIe OPL ,
SM37A18956,MEMORY MTA36ASF8G72PZ2G9B2 64GB D429R,
SSS0L25175,SSD SAM PM881 256G 2.5 OPAL             ,
SSS7A43100,SSD P4511 M.2 2TB NVMe SSD (SED)        ,
SSS7A43115,SSD P4511 M.2 1TB NVMe SSD              ,
SSS7A43116,SSD P4511 M.2 2TB NVMe SSD              ,
SSS7A43117,SSD P4511 M.2 700GB NVMe SSD            ,
SW10M73306,WIRELESS Intel 22260 vPro M2 WLAN       ,
SSA0U98755,SP Intel i79700 3GHz/8C/12M 65W        ,
SSA7A57955,SP AMD ROME 7302  16C/3.0G/155W/128M   ,
SSS0L25170,SSD SAM PM991 128G M.2 2242 PCIe        ,
SSS7A43176,"SSD 5200 MS SATA 1.92TB 2.5"" SED SSD    ",
SM37A21501,MEMORY H HMA84GR7JJR4NWM 32GB D429R   ,
SM37A18955,MEMORY H HMAA8GR7AJR4NWM 64GB D429R   ,
SSS0L25171,SSD SAM PM991 256G M.2 2242 PCIe        ,
SSS7A43432,SSD G 4T Razorback card IPDC G1,
SSS0L25152,SSD UMIS AH631 M.2 2280 256G PCIe OPAL  ,
SSS0L25153,SSD UMIS AH631 M.2 2280 512G PCIe OPAL  ,
SSS7A23328,"SSD Int P4510 1T 2.5"" NVMe SSD          ",
SSS7A43442,"SSD 1643a 2.5"" 1.92T SAS HS SSD         ",
SSS7A43165,SSD samsung PM1643a 3.84TB              ,
SM30X58667,MEMORY MXIC MX25U6473FM2I10G,
SM37A21310,MEMORY MTA18ASF2G72PDZ2G9E1 16G D429,
SSS7A23416,SSD Int S4510 240G 2.5 SATA,
SM37A21355,MEMORY 16GB 2RX8 PC42666 RDIMM         ,
SM30N76635,MEMORY 4GB D4 32S M471A5244CB0CWE      ,
SM30N76573,MEMORY 4GB D4 32S MTA4ATF51264HZ3G2J1  ,
SM30E51321,MEMORY 8GB D4 26ES HMA81GS7CJR8NVKT0   ,
SM30N76592,MEMORY 8GB D4 26ES M474A1K43DB1CTD     ,
SM30N76554,MEMORY 8GB D4 26U HMA81GU6JJR8NVKN0    ,
SM37A21484,MEMORY H HMA82GR7JJR4NWM 16GB D429R   ,
SM37A21500,MEMORY H HMA82GR7JJR8NWM 16GB D429R   ,
SM37A21425,MEMORY H HMA84GR7CJR4N WMT   M1  A      ,
SM37A21466,MEMORY HMA82GR7JJR4NVK M1a           ,
SM37A21510,MEMORY MTA144ASQ16G72PSZ2S6E1Q 128G A2,
SM37A18970,MEMORY MTA18ASF2G72AZ2G6D1 16GB D426E ,
SM37A21508,MEMORY MTA72ASS8G72PSZ2S6E1Q 64G A2,
SM37A21446,MEMORY S M393A4K40DB3CWE 32GB D432R,
SSA7A57425,SP CLX 6238M 22C/2.1G/140W/30.25M       ,
SSA7A57423,SP CLX 6240M 18C/2.6G/150W/24.75M       ,
SSA7A19311,SP ES1 COOPER LAKE A0 33MB 300W 24c QTKZ,
SSA0U98777,SP Intel Celeron G4930T 3GHz/2C/2M 35W  ,
SSA0U98764,SP Intel Celeron G4950 3.3GHz/2C/2M 54W ,
SSA7A73211,SP Intel CPX pre ES1 QTL0,
SSA7A40528,SP Inteli38300T 3.2G/8M/4C4T/35W/2400  ,
SSA0U55875,SP Xeon Gold 6248 2.5GHz/20C/27.5M 150W ,
SSA0X58365,SP Xeon W2223 3.6GHz/4C/8.25M 120W     ,
SSA0X58361,SP Xeon W2295 3GHz/18C/24.75M 165W     ,
SSS7A43441,"SSD 1643a 2.5"" 960G SAS HS SSD          ",
SSS7A43205,"SSD 2.5"" 5300 1.92T MS SATA SSD         ",
SSS7A43188,"SSD 2.5"" 5300 240G Entry SATA SSD       ",
SSS7A43202,"SSD 2.5"" 5300 240G MS SATA SSD          ",
SSS7A43200,"SSD 2.5"" 5300 3.84T Entry SATA SSD      ",
SSS7A43197,"SSD 2.5"" 5300 480G Entry SATA SSD",
SSS7A43203,"SSD 2.5"" 5300 480G MS SATA SSD          ",
SSS7A43201,"SSD 2.5"" 5300 7.68T Entry SATA SSD      ",
SSS7A43204,"SSD 2.5"" 5300 960G MS SATA SSD          ",
SSS7A43280,SSD 5210(ION) 1.92TB Entry HS SSD       ,
SSS7A43450,"SSD 5210(ION) 2.5"" 960GB HS SSD         ",
SSS7A43281,SSD 5210(ION) 3.84TB Entry HS SSD       ,
SSS7A43282,SSD 5210(ION) 7.68TB Entry HS SSD,
SSS7A23276,SSD M.2 5300 240GB SATA NHS SSD         ,
SSS7A23277,SSD M.2 5300 480GB SATA NHS SSD         ,
SSS0L25174,SSD SAM PM881 128G 2.5                  ,
SSS0L25176,SSD SAM PM881 512G 2.5 OPAL             ,
SSS0L25172,SSD SAM PM991 512G M.2 2242 PCIe        ,
SSS7A43166,SSD samsung PM1643a 7.68TB              ,
SSS7A43324,SSD Samsung PM1725b 1.6TB Korea         ,
SSS0L24765,SSD SKH BC501PLP 512G M.2 2242 PCIe    ,
SSS0L24704,SSD TOS BG3  512G M.2 2242 PCIe         ,
SSS0L24759,SSD TOS XG6 2TB M.2 2280 PCIe OPAL      ,
SSS0R27339,SSD UMIS AM610 256G M.2 PCIe 2242 SSD,
SSS0L24771,SSD WD SA530 512G 2.5 OPAL              ,
SSS0L24773,SSD WD SA530 512G 2.5 STD               ,
SSS7A43484,SSD WD SN630 3.84T NVMe 2.5 IPDC       ,
SSS7A43456,SSD WD SS530 1.6T SAS 2.5 SSD,
SSA0U55887,SP Xeon Gold 5217 3.0GHz/8C/11M 115W,
SM30N76650,MEMORY 4GB D4 29U M378A5244CB0CVF      ,
SM37A21408,MEMORY S M393A2K40CB2CTD 16GB D426R   ,
SSS7A43370,SSD H HFS1T9GD0FEHA430A M.2 M1a       ,
SSS0L25194,SSD UM AM611 64G M.2 2242 PCIe,
SM30N76578,MEMORY 4GB D4 32U MTA4ATF51264AZ3G2J1  ,
SSS7A43198,"SSD 2.5"" 5300 960G Entry SATA SSD       ",
SSS7A43199,"SSD 2.5"" 5300 1.92T Entry SATA SSD      ",
SSA7A69821,"SP Intel E2246G 6C/12T,3.6G,80W,12M,U0 ",
SSA7A69822,"SP Intel E2244G 4C/8T,3.8G,71W,8M,U0   ",
SSA7A69825,"SP Intel E2226G 6C/6T,3.4G,80W,12M,U0  ",
SSA7A69826,"SP Intel E2224G 4C/4T,3.5G,71W,8M,U0   ",
SSA7A69827,"SP Intel E2224 4C/4T,3.4G,71W,8M,U0    ",
SSA7A69828,"SP Intel i39350K 4C/4T,4.0G,91W,8M,B0  ",
SSA7A69831,"SP Intel i39300 4C/4T,3.7G,62W,8M,B0   ",
SSA7A69833,"SP Intel i39100 4C/4T,3.6G,65W,6M,B0   ",
SSA7A69835,"SP Intel G5600T 2C/4T,3.3G,35W,4M,B0    ",
SSA7A69838,"SP Intel G4950 2C/2T,3.3G,54W,2M,B0     ",
SSA7A69840,"SP Intel G4930 2C/2T,3.2G,54W,2M,B0     ",
SSA0U98758,SP Intel i39320 3.7GHz/4C/8M 62W       ,
SM30W22293,MEMORY 4GB D429U HMA851U6DJR6NWM      ,
SSA0U55863,SP Xeon 8280  2.7GHz/28C/38.5M 205W     ,
SM30K25313,MEMORY 4GB D4 26U HMA851U6CJR6NVKN0,
SSA0U55880,SP Xeon Gold 6238T 1.9GHz/22C/30.25M125W,
SSD0N81689,"SSD_ASM SAM PM871b 256GB 2.5"" SSD       ",
SSS7A23278,SSD M.2 5300 960GB SATA NHS SSD         ,
SSS7A43438,"SSD 2.5"" 5300Max 1.92T MS SED SSD       ",
SSA0X61827,SP Xeon Silver 4214R 2.4GHz/12C/16.5M   ,
SSA0X61829,SP Xeon Silver 4210R 2.4GHz/10C/13.75M  ,
SSA0V98139,SP Xeon W3275 2.5GHz/28C/38.5M 205W    ,
SSA7A57434,SP CLX 6252N 24C/2.7G/150W/35.75M       ,
SSS7A43325,SSD Samsung PM1725b 3.2TB Korea,
SSS0V42252,SSD SAM PM991 128G M.2 PCIe 2242 SSD,
SSA7A44098,SP CLX 5218T 16C/2.2G/105W/22M          ,
SSA0U55870,SP Xeon 8260 2.4GHz/24C/35.75M 165W     ,
SM30W22294,MEMORY 8GB D429U HMA81GU6DJR8NWM      ,
SM37A21388,MEMORY S M391A4G43MB1CTD 32GB D426E   ,
SM37A74260,MEMORY USB STICK                        ,
SSS0S57324,SSD WD SN720 512G M.2 PCIe 2280 SSD,
SSS0T79404,SSD MIC 2200 512G M.2 PCIe 2280 SSD,
SSA7A57419,SP AMD ROME 7502  32C/2.5G/180W/128M   ,
SSA7A55970,SP CLX 8274 24C/3.2G/240W/35.75M,
SM37A68603,MEMORY IBM 128GB 3DS RDIMM 2666MHz,
SSA7A75400,"SP SKL 8160 24C/2.1G/150W/33M, M1       ",
SSA7A75397,"SP SKL 8168 24C/2.7G/205W/33M, M1       ",
SSA7A75399,"SP SKL 8180M 28C/2.5G/205W/38.5M, M1    ",
SSA7A75403,"SP CLX 6252 24C/2.1G/150W/35.75M, M1    ",
SSA7A75402,"SP CLX 8280M 28C/2.7G/205W/38.5M, M1    ",
SSA7A75398,"SP SKL 8171M 26C/2.6G/205W/35.75M, M1   ",
SSA7A75401,"SP CLX 8272CL 26C/2.6G/195W/35.75M, M1  ",
SM37A18950,MEMORY MTA18ASF2G72PDZ2G9E1 16G D429R ,
SSA0W36787,SP AMDRyzen9 PRO 3900 3.1GHz/12C/64M/65W,
SSA0U98781,SP I i59400 2.9GHz/6C/9M 65W R0 SRG0Y,
SSS7A39302,"SSD 2.5"" 5200 Pro 3.84T SATA SED SSD    ",
SM37A21417,MEMORY S M386AAG40MMB CVF  M1  A        ,
SM37A21421,MEMORY S M393A8G40MB2 CVF   M1  A       ,
SM30W03089,MEMORY 8GB D429U M378A1K43DB2CVF      ,
SSA0X61838,SP Xeon W2235 3.8GHz/6C/8.25M 130W     ,
SM37A21494,MEMORY H HMA82GR7JJR8NWM 16GB D426R   ,
SM30N76636,MEMORY 8GB D4 32S M471A1K43DB1CWE      ,
SM30W03090,MEMORY 16GB D429U M378A2K43DB1CVF     ,
SM30N76638,MEMORY 32GB D4 32S M471A4G43AB1CWE     ,
SSA7A57429,SP CLX 6230T 20C/2.1G/125W/27.5M        ,
SM30N76619,MEMORY 8GB D4 32S HMA81GS6DJR8NXNN0    ,
SM30N76621,MEMORY 32GB D4 32S HMAA4GS6AJR8NXNN0   ,
SSS7A43181,SSD Int S4510 240G IPDC A2KS,
SM37A21377,MEMORY S M393AAG40M3BCYF 128G AWSK,
SSS7A43514,SSD U.2 CM5R 7.68TB Entry SED NVMe,
SM37A21431,MEMORY MTA18ASF2G72PZ2G9E1 16G M1A    ,
SM37A21410,MEMORY HMA84GR7JJR4NVK 32G D424Ra    ,
SM30X79405,MEMORY 32GB D432E M391A4G43AB1CWE     ,
SSS7A23271,SSD M.2 CVZ 32GB SATA NHS SSD           ,
SM30W22306,MEMORY 32GB D432E MTA18ASF4G72AZ3G2B1 ,
SSA7A70017,SP CLXR 6226R 16C/2.9G/150W/22M        ,
SSA0X58363,SP Xeon W2265 3.5GHz/12C/19.25M 165W   ,
SSA0X61839,SP Xeon W2245 3.9GHz/8C/16.5M 155W     ,
SSA7A56509,SP CLX 8255C 24C/2.5G/165W/??M          ,
SSA0X88584,SP I i510400 2.9GHz/6C/12M 65W G1 SRH3C,
SSA0X88580,SP Intel i510600 3.3GHz/6C/12M 65W     ,
SSA0X88581,SP Intel i510600T 2.4GHz/6C/12M 35W    ,
SSA0X88583,SP Intel i510500T 2.3GHz/6C/12M 35W    ,
SSA0X88585,SP Intel i510400T 2.0GHz/6C/12M 35W    ,
SM30X79398,MEMORY 32GB D432E HMAA4GU7AJR8NXNT0   ,
SM37A21414,MEMORY S M393A4K40DB3CWE 32GB D432R   ,
SSS7A43471,SSD WD 1.92T 2.5 SAS12G SSD             ,
SSS7A43472,SSD WD 3.84T 2.5 SAS12G SSD             ,
SSA0X58364,SP Xeon W2255 3.7GHz/10C/19.25M 165W   ,
SSA0X61837,SP Xeon W2225 4.1GHz/4C/8.25M 105W     ,
SM37A21440,MEMORY H HMAA4GU7AJR8NVK 32GB D426E   ,
SSA7A75396,"SP E5-2673V4 20C/2.3G/135W/50M, M1      ",
SSS7A75097,SSD I D5P4326 E1.L 15T SSD M1a       ,
SSA7A57964,SP AMD ROME 7352  24C/2.3G/155W/128M,
SM37A68635,MEMORY M 64G 4Rx4 PC42666 1.2V A2      ,
SM37A68637,MEMORY M 128G 8Rx4 PC42666 1.2V A2     ,
SSA0Y58704,SP Xeon W1250 3.3GHz/6C/12M 80W        ,
SSA0V25476,SP Xeon Gold 6226 2.7GHz/12C/19.25M 125W,
SSA0X88599,SP Intel i510400F 2.9GHz/6C/12M 65W    ,
SM37A68631,MEMORY HMABAGL7ABR4NWM 128G A2,
SSA0V03229,SP Intel i79700F 3GHz/8C/12M 65W       ,
SSA0T06174,SP Intel i59600K 3.70GHz/6C/9M 95W     ,
SM30N76620,MEMORY 16GB D4 32S HMA82GS6DJR8NXNN0   ,
SM37A68640,MEMORY H 64G 4Rx4 PC42933 1.2V M1A    ,
SM37A68624,MEMORY H 64G 4Rx4 PC4-2666 1.2V M1-A    ,
SM30N76574,MEMORY 8GB D4 32S MTA8ATF1G64HZ3G2J1   ,
SSS7A43276,"SSD 2.5"" 5300 7.68TT SATA SED SSD       ",
SSS0L68733,SSD MIC 1300 2TB 2.5 SATA OPAL          ,
SSA7A57968,SP AMD ROME 7232P  8C/3.1G/120W/32M    ,
SSA0M91221,SP Xeon GOLD 6132 2.6G 14C 140W         ,
SM37A21498,MEMORY H HMA84GR7JJR4NWM 32GB D426R,
SSA0V98144,SP Xeon W3235 3.3GHz/12C/19.25M 180W,
SM30N76618,MEMORY 4GB D4 32S HMA851S6DJR6NXNN0    ,
SSS7A43275,"SSD 2.5"" 5300 3.84T SATA SED SSD        ",
SSA0X88590,SP Intel i310100T 3GHz/4C/6M 35W       ,
SSA0V03230,SP Intel i59500F 3GHz/6C/9M 65W        ,
SSA0X88594,SP Intel G6400 4.0GHz/2C/4M 58W         ,
SSA0X88595,SP Intel G6400T 3.4GHz/2C/4M 35W        ,
SSA7A61842,SP CLX 4214R 12C/2.4G/100W/16.5M        ,
SSA7A61843,SP CLX 4210R 10C/2.4G/100W/13.75M       ,
SSA7A61845,SP CLX 3206R 8C/1.9G/85W/11M            ,
SSA7A67120,SP CLX 6256 12C/3.6G/205W/33M           ,
SSA7A67121,SP CLX 6250 8C/3.9G/185W/35.75M         ,
SSA7A70011,SP CLXR 6248R 24C/3.0G/205W/35.75M     ,
SSA7A70012,SP CLXR 6246R 16C/3.4G/205W/35.75M     ,
SSA7A70014,SP CLXR 6240R 24C/2.4G/165W/35.75M     ,
SSA7A70016,SP CLXR 6230R 26C/2.1G/150W/35.75M     ,
SSA7A70019,SP CLXR 5218R 20C/2.1G/125W/27.5M      ,
SSA7A70536,SP CLXR 4210T 10C/2.3G/95W/13.75M      ,
SSA7A69824,"SP Intel E2234 4C/8T,3.6G,71W,8M,U0    ",
SSA0X58362,SP Xeon W2275 3.3GHz/14C/19.25M 165W   ,
SSS0L24761,SSD SKH PC601 512G M.2 2280 PCIe OPAL   ,
SSA0U98775,SP Intel G5420T 3.2GHz/2C/4M 35W U0     ,
SM37A18990,MEMORY MTA36ASF4G72PZ2G6E1 32GB D426R ,
SM37A21459,MEMORY MTA36ASF4G72PZ3G2E7             ,
SSS7A43586,SSD I D5P4326 E1.L 15T SSD M1         ,
SSA7A57962,SP AMD ROME 7552  48C/2.2G/200W/192M   ,
SSA7A57966,SP AMD ROME 7272  12C/2.9G/120W/64M    ,
SM37A21452,MEMORY H HMA82GR7CJR8NXN 16GB D432R   ,
SSA0X61832,SP Xeon Bronze 3206R 1.9GHz/8C/11M 85W  ,
SSA7A57963,SP AMD ROME 7542  32C/2.9G/225W/128M   ,
SSA7A57965,SP AMD ROME 7282  16C/2.8G/120W/64M    ,
SSA0U55890,SP Xeon Gold 5215 2.5GHz/10C/13.75M 85W ,
SSA0Z21878,SP Intel i910900K 3.7GHz/10C/20M 125W  ,
SSA0Z21879,SP Intel i910900 2.8GHz/10C/20M 65W    ,
SSA7A70013,SP CLXR 6242R 20C/3.1G/205W/35.75M     ,
SSA7A70020,SP CLXR 4215R 8C/3.2G/130W/11M         ,
SSA0Z21882,SP Intel i710700 2.9GHz/8C/16M 65W     ,
SSS7A43459,"SSD 2.5"" SS540 400G Perf SAS SSD        ",
SSS7A43460,"SSD 2.5"" SS540 800G Perf SAS SSD        ",
SSS7A43461,"SSD 2.5"" SS540 1.6T Perf SAS SSD        ",
SSS7A43462,"SSD 2.5"" SS540 3.2T Perf SAS SSD        ",
SSA0U55882,SP Xeon Gold 5220 2.2GHz/18C/24.75M 125W,
SM37A21467,MEMORY S M393A2K40DB3CWE 16G 432 M1   ,
SM30W22314, EMORY 64GB D429R MTA36ASF8G72PZ2G9B2 ,
SSA7A69818,"SP Intel E2278G 8C/16T,3.4G,80W,16M,R0 ",
SSA7A70010,SP CLXR 6258R 28C/2.7G/205W/38.5M      ,
SM30R45314,MEMORY 64G D429R HMAA8GR7MJR4NWM      ,
SSA7A69823,"SP Intel E2236 6C/12T,3.4G,80W,12M,U0  ",
SSA7A69816,"SP Intel E2288G 8C/16T,3.7G,95W,16M,R0 ",
SM30N76579,MEMORY 8GB D4 32U MTA8ATF1G64AZ3G2J1   ,
SSA7A19319,SP ES2 33MB 300W 24c QU3J               ,
SSA7A78296,SP Intel CPX6 QS M1 B                  ,
SSA7A78297,SP Intel CPX6 QS M1 C                  ,
SM30N76666,MEMORY 8GB D4 26U LV26D4U9S8HJ8        ,
SSA7A57961,SP AMD ROME 7642  48C/2.3G/225W/256M   ,
SM30X79401,MEMORY 16GB D432U M378A2G43AB3CWE     ,
SM30X58968,MEMORY 64GB D432R M393A8G40AB2CWE     ,
SM37A68618,MEMORY H 32G 2Rx4 PC42933 1.2V M1A    ,
SM37A68616,MEMORY H 16G 1Rx4 PC42933 1.2V M1A    ,
SM37A68673,MEMORY H 32G 1RX4 PC42933 1.2V M1A    ,
SM30X58964,MEMORY 16GB D432R MTA18ASF2G72PDZ3G2E1,
SSA0X88589,SP Intel i310100 3.6GHz/4C/6M 65W      ,
SM37A21537,MEMORY H HMABAGR7A2R4NXS 128G D432R   ,
SSS7A23384,SSD PM983 M.2 960G NHS NVME SSD         ,
SSA7A75536,SP AMD ROME 7F72  24C/3.2G/240W/192M   ,
SSA7A75537,SP AMD ROME 7F52  16C/3.5G/240W/256M   ,
SSA7A75538,SP AMD ROME 7F32  8C/3.7G/180W/128M    ,
SSA0Z21883,SP Intel i710700T 2.0GHz/8C/16M 35W    ,
SSA0Z21893,SP Intel W1290 3.2GHz/10C/20M 80W      ,
SP27A44306,PAD PM983 Top Thermal Pad               ,
SP27A44307,PAD PM983 Bottom Thermal Pad            ,
SSS0L24752,SSD TOS BG4 128G M.2 2242 PCIe          ,
SM30N76637,MEMORY 16GB D4 32S M471A2K43DB1CWE     ,
SM37A68712,MEMORY MTA144ASQ16G72PSZ2S6E1 128G M1a ,
SSA0Z87121,SP AMD 3945WX 3.9GHz/12C/64M/280W       ,
SSA0Z87120,SP AMD 3955WX 3.8GHz/16C/64M/280W       ,
SSA0Z87119,SP AMD 3975WX 3.5GHz/32C/128M/280W      ,
SSA7A61839,SP CLX 5220R 18C/2.2G/125W/24.75M       ,
SSS0L25142,SSD INT NH 512G M.2 2280 PCIe QLC       ,
SSA0Z21889,SP Intel i710700F 2.9GHz/8C/16M 65W    ,
SSA7A69819,"SP Intel E2276G 6C/12T,3.8G,80W,12M,U0 ",
SM30W22295,MEMORY 16GB D429U HMA82GU6DJR8NWM     ,
SSS7A43167,SSD samsung PM1643a 15.36TB             ,
SSA7A57954,SP AMD ROME 7402  24C/2.8G/180W/128M   ,
SSS7A43483,SSD MTFDDAK960TDD1AT1ZABMA M1A        ,
SSA7A69817,"SP Intel E2286G 6C/12T,4.0G,95W,12M,U0 ",
SSA7A70015,SP CLXR 6238R 28C/2.2G/165W/38.5M      ,
SSS7A43182,SSD Int S4510 240G IPDC A2              ,
SSA0X88582,SP Intel i510500 3.1GHz/6C/12M 65W     ,
SM30W01808,MEMORY 8GB D429E M391A1K43DB2CVF      ,
SSA7A70018,SP CLXR 6208U 16C/2.9G/150W/22M        ,
SM30X58967,MEMORY 64GB D432R HMAA8GR7AJR4NXN     ,
SM37A21511,MEMORY MTA144ASQ16G72PSZ2S6E1Q 128G A2k,
SSA7A70457,SP AMD ROME 7662  64C/2.0G/225W/256M   ,
SM37A21337,MEMORY S M393A4G43AB3CWE 32GB D432R   ,
SSS7A75132,SSD Sam PM1735 6.4T AIC IPDC M1        ,
SSA0Z21886,SP Intel i910900KF 3.7GHz/10C/20M 125W ,
SSA0Z21891,SP Intel i510400F 2.9GHz/6C/12M 65W P1 ,
SSS7A75102,SSD CM6 NVME U.3 3.84T MS SED SSD       ,
SSS7A75103,SSD CM6 NVME U.3 7.68T MS SED SSD       ,
SSA7A40531,SP Intel G5500 3.8G/4M/2C4T/54W/2400    ,
SM30X79400,MEMORY 8GB D432U M378A1G44AB0CWE      ,
SM37A21259,MEMORY H HMABAGR7A2R4NXN 128G D432R   ,
SSS7A75125,SSD H PE6110 960G M.2 SSD M1A          ,
SM30W22305,MEMORY 16GB D432E MTA9ASF2G72AZ3G2B1  ,
SM30X79396,MEMORY 8GB D432E HMA81GU7DJR8NXNT0    ,
SSA1A09229,SP AMD Ryzen 7 4700G 3.6GHz/8C/8M/65W   ,
SSA1A09231,SP AMD Ryzen 3 4300G 3.8GHz/4C/4M/65W   ,
SM37A21509,MEMORY MTA72ASS8G72PSZ2S6E1Q 64G A2k   ,
SSS7A75133,SSD Sam PM1735 6.4T AIC IPDC M1A      ,
SSA7A69820,"SP Intel E2274G 4C/8T,4.0G,83W,8M,U0   ",
SM30N76576,MEMORY 8GB D4 XMP32U TMKU8G68DHFKB32X ,
SM30X79397,MEMORY 16GB D432E HMA82GU7DJR8NXNT0   ,
SSS0L24786,SSD WD SN530 512G 2242 PCIe3x4          ,
SSS0L24785,SSD WD SN530 256G 2242 PCIe3x4          ,
SSS0L25189,SSD UM AM620 256G M.2 2242 PCIe         ,
SSS0T22291,SSD SAM PM981a 1T M.2 PCIe 2280 SSD     ,
SSA0Z87118,SP AMD 3995WX 2.7GHz/64C/256M/280W      ,
SSA0W36783,SP AMD Ryzen 7 3700X 3.6GHz/8C/32M/65W  ,
SSA1A09234,SP AMD Ryzen 3 4300GE 3.5GHz/4C/4M/35W  ,
SM37A18988,MEMORY H HMA84GR7CJR4NVK 32GB D426R   ,
SM37A21514,MEMORY S M393A8G40AB2CWE 64GB D432R   ,
SSS7A43107,SSD samsung PM1735 AIC 1.6TB            ,
SSS7A43485,SSD PM1733 U.2 1.92T Entry HS SSD       ,
SSS7A43235,SSD CM6 NVME U.3 1.6T MS G4HS           ,
SSS0L25197,SSD SAM PM9A1 1T 2280 PPCIe4x4 OP      ,
SSS0L25195,SSD SAM PM9A1 256G 2280 PPCIe4x4 OP    ,
SM37A68708,MEMORY S M393A2K40DB2CVF 16G M1A      ,
SSA0W36785,SP AMD Ryzen 5 3600 3.6GHz/6C/32M/65W   ,
SSA1A09236,SP A Ryzen 5 PRO 4650G 3.7GHz/6C/8M/65W ,
